SouË·stka;ZnaËenÌ;P¯ipojenÌ;Specifikace;Typ;Funkce;Symbol;Str·nka Ë.;».skupiny;ViditelnÈ;V˝pisy zapojenÌ;V˝pisy materi·lu;Mech. p¯ÌsluöenstvÌ;V˝KON;OT·ËKY;ViditelnÈ
 (0);;;;X23:A2/PUC3:IN18;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X23:A1/PUC3:IN17;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X22:A2/PUC3:IN16;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X22:A1/PUC3:IN15;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X21:A2/PUC3:IN14;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X21:A1/PUC3:IN13;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X20:A2/PUC3:IN12;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X20:A1/PUC3:IN11;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X19:A2/PUC3:IN10;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X19:A1/PUC3:IN9;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X18:A2/PUC3:IN8;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X18:A1/PUC3:IN7;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3:OUT4/X21:1;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3:OUT3/X20:1;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3:OUT2/X19:1;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3:OUT1/X18:1;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X8:B1/PUC2:IN5;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X7:B2/PUC2:IN4;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X7:B1/PUC2:IN3;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X14:B1/PUC2:IN16;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X9:B1/PUC2:IN6;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X9:B2/PUC2:IN7;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X10:B1/PUC2:IN8;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X10:B2/PUC2:IN9;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X11:B1/PUC2:IN10;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X11:B2/PUC2:IN11;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X12:B1/PUC2:IN12;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X12:B2/PUC2:IN13;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X13:B1/PUC2:IN14;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X13:B2/PUC2:IN15;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3:PWR2/X6:D1;;sipka;5;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC2:PWR2/X5:D6;;sipka;5;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3:PWR1/X6:C1;;sipka;5;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC2:PWR1/X5:C2;;sipka;5;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3:RS422/TERM:3;;sipka;5;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SR1:33/PUC2:REL2;;sipka;5;0;Ano;Ano;Ano;;;;Ano
 (0);;1,2,3;;;;07-02-04_A;1;0;Ano;Ano;Ano;;;;Ano
 (1);;;1mm2,blue;K0:N/N:5;;sipka;1;1;Ano;Ano;Ano;;;;Ano
 (1);;;2,5mm2,blue;FU0:8/FI0:3;;sipka;2;1;Ano;Ano;Ano;;;;Ano
 (1);;;1,5mm2,black;FU1:1/X2:A5;;sipka;2;1;Ano;Ano;Ano;;;;Ano
 (1);;;CYA,1 mm2, yellow;PS1:6/P12:1;;sipka;4;1;Ano;Ano;Ano;;;;Ano
