Souèástka;Znaèení;Pøipojení;Specifikace;Typ;Funkce;Symbol;Stránka è.;È.skupiny;Viditelné;Výpisy zapojení;Výpisy materiálu;Mech. pøíslušenství;VýKON;OTáèKY;Viditelné
K0 (0);K0;1,2,3,4;;;;07-02-03_2;1;0;Ano;Ano;Ano;;;;Ano
K1 (0);K1;1,2,3,4;;;;07-02-03_2;1;0;Ano;Ano;Ano;;;;Ano
K3 (0);K3;34,33,44,43;;;;07-02-01_2;1;0;Ano;Ano;Ano;;;;Ano
K4 (0);K4;34,33,44,43;;;;07-02-01_2;1;0;Ano;Ano;Ano;;;;Ano
K5 (1);K5;1,2,3,4;FINDER;7S.14.9.024.4220;;07-02-01_2;2;1;Ano;Ano;Ano;;;;Ano
K6 (0);K6;1,2;;;;07-02-03;2;0;Ano;Ano;Ano;;;;Ano
K7 (0);K7;1,2;;;;07-02-01;3;0;Ano;Ano;Ano;;;;Ano
K8 (1);K8;1,2,3,4;FINDER;7S.14.9.024.4220;;07-02-01_2;4;1;Ano;Ano;Ano;;;;Ano
Q3 (1);Q3;22,21;FINDER;7S.32.9.024.5110;;07-02-03;3;1;Ano;Ano;Ano;;;;Ano
Q4 (1);Q4;22,21;FINDER;7S.32.9.024.5110;;07-02-03;3;1;Ano;Ano;Ano;;;;Ano
Q5 (1);Q5;22,21;FINDER;7S.32.9.024.5110;;07-02-03;5;1;Ano;Ano;Ano;;;;Ano
Q6 (1);Q6;22,21;FINDER;7S.32.9.024.5110;;07-02-03;5;1;Ano;Ano;Ano;;;;Ano
S1 (0);S1;1,2,3,4;;;;07-02-03_2;1;0;Ano;Ano;Ano;;;;Ano
S2 (0);S2;1,2,3,4;;;;07-02-01_2;1;0;Ano;Ano;Ano;;;;Ano
S3 (0);S3;1,2,3,4;;;;07-02-01_2;1;0;Ano;Ano;Ano;;;;Ano
