Souèástka;Znaèení;Pøipojení;Specifikace;Typ;Funkce;Symbol;Stránka è.;È.skupiny;Viditelné;Výpisy zapojení;Výpisy materiálu;Mech. pøíslušenství;VýKON;OTáèKY;Viditelné
 (0);;;;REL2:12/X3:D2;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X6:B2/P8:1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X6:B1/P7:1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X5:B2/P6:1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X5:B1/P5:1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X4:B2/P4:1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X4:B1/P3:1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X3:B2/P2:1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X3:B1/P1:1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;P8:2/X8:D1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;P9:2/REL2:9;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;P10:2/REL2:11;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;P9:1/X3:C2;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;P10:1/X4:C1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;EM0:1/P11:1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;P11:2/FU0:8;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PS1:6/P12:1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;P12:2/X13:D2;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;P12:2/X13:D2;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PS2:3/X24:C2;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PS2:4/X24:D2;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X2:A5/PS1:L;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X2:B5/PS1:N;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X2:C5/PS1:PE;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X2:B6/PS2:FG;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X2:A6/PS2:L1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X18:A1/PUC3:IN7;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X18:A2/PUC3:IN8;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X19:A1/PUC3:IN9;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X19:A2/PUC3:IN10;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X20:A1/PUC3:IN11;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X20:A2/PUC3:IN12;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X21:A1/PUC3:IN13;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X21:A2/PUC3:IN14;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X22:A1/PUC3:IN15;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X22:A2/PUC3:IN16;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X23:A1/PUC3:IN17;;sipka;6;0;Ano;Ano;Ano;;;;Ano
